Prefijo,Mascara,Wildcard,DireccionesTotales,HostsUsables,RedEjemplo,PrimeraUsable,UltimaUsable,Broadcast
/0,0.0.0.0,255.255.255.255,4294967296,4294967294,0.0.0.0,0.0.0.1,255.255.255.254,255.255.255.255
/1,128.0.0.0,127.255.255.255,2147483648,2147483646,128.0.0.0,128.0.0.1,255.255.255.254,255.255.255.255
/2,192.0.0.0,63.255.255.255,1073741824,1073741822,192.0.0.0,192.0.0.1,255.255.255.254,255.255.255.255
/3,224.0.0.0,31.255.255.255,536870912,536870910,224.0.0.0,224.0.0.1,255.255.255.254,255.255.255.255
/4,240.0.0.0,15.255.255.255,268435456,268435454,240.0.0.0,240.0.0.1,255.255.255.254,255.255.255.255
/5,248.0.0.0,7.255.255.255,134217728,134217726,248.0.0.0,248.0.0.1,255.255.255.254,255.255.255.255
/6,252.0.0.0,3.255.255.255,67108864,67108862,252.0.0.0,252.0.0.1,255.255.255.254,255.255.255.255
/7,254.0.0.0,1.255.255.255,33554432,33554430,254.0.0.0,254.0.0.1,255.255.255.254,255.255.255.255
/8,255.0.0.0,0.255.255.255,16777216,16777214,192.0.0.0,192.0.0.1,192.255.255.254,192.255.255.255
/9,255.128.0.0,0.127.255.255,8388608,8388606,192.128.0.0,192.128.0.1,192.255.255.254,192.255.255.255
/10,255.192.0.0,0.63.255.255,4194304,4194302,192.128.0.0,192.128.0.1,192.191.255.254,192.191.255.255
/11,255.224.0.0,0.31.255.255,2097152,2097150,192.160.0.0,192.160.0.1,192.191.255.254,192.191.255.255
/12,255.240.0.0,0.15.255.255,1048576,1048574,192.160.0.0,192.160.0.1,192.175.255.254,192.175.255.255
/13,255.248.0.0,0.7.255.255,524288,524286,192.168.0.0,192.168.0.1,192.168.7.254,192.168.7.255
/14,255.252.0.0,0.3.255.255,262144,262142,192.168.0.0,192.168.0.1,192.168.3.254,192.168.3.255
/15,255.254.0.0,0.1.255.255,131072,131070,192.168.0.0,192.168.0.1,192.168.1.254,192.168.1.255
/16,255.255.0.0,0.0.255.255,65536,65534,192.168.0.0,192.168.0.1,192.168.255.254,192.168.255.255
/17,255.255.128.0,0.0.127.255,32768,32766,192.168.0.0,192.168.0.1,192.168.127.254,192.168.127.255
/18,255.255.192.0,0.0.63.255,16384,16382,192.168.0.0,192.168.0.1,192.168.63.254,192.168.63.255
/19,255.255.224.0,0.0.31.255,8192,8190,192.168.0.0,192.168.0.1,192.168.31.254,192.168.31.255
/20,255.255.240.0,0.0.15.255,4096,4094,192.168.0.0,192.168.0.1,192.168.15.254,192.168.15.255
/21,255.255.248.0,0.0.7.255,2048,2046,192.168.0.0,192.168.0.1,192.168.7.254,192.168.7.255
/22,255.255.252.0,0.0.3.255,1024,1022,192.168.0.0,192.168.0.1,192.168.3.254,192.168.3.255
/23,255.255.254.0,0.0.1.255,512,510,192.168.0.0,192.168.0.1,192.168.1.254,192.168.1.255
/24,255.255.255.0,0.0.0.255,256,254,192.168.0.0,192.168.0.1,192.168.0.254,192.168.0.255
/25,255.255.255.128,0.0.0.127,128,126,192.168.0.0,192.168.0.1,192.168.0.126,192.168.0.127
/26,255.255.255.192,0.0.0.63,64,62,192.168.0.0,192.168.0.1,192.168.0.62,192.168.0.63
/27,255.255.255.224,0.0.0.31,32,30,192.168.0.0,192.168.0.1,192.168.0.30,192.168.0.31
/28,255.255.255.240,0.0.0.15,16,14,192.168.0.0,192.168.0.1,192.168.0.14,192.168.0.15
/29,255.255.255.248,0.0.0.7,8,6,192.168.0.0,192.168.0.1,192.168.0.6,192.168.0.7
/30,255.255.255.252,0.0.0.3,4,2,192.168.0.0,192.168.0.1,192.168.0.2,192.168.0.3
/31,255.255.255.254,0.0.0.1,2,"0 (RFC3021: 2)",192.168.0.0,192.168.0.0,192.168.0.1,192.168.0.1
/32,255.255.255.255,0.0.0.0,1,0,192.168.0.0,192.168.0.0,192.168.0.0,192.168.0.0
